run_num,kmer,context_window,epochs,run,Accuracy,F1 Score,Matthews Correlation,Precision,Recall,Runtime,Samples/sec,Steps/sec
135,48,48,15,2,0.5151790268012828,0.24053397458565468,0.09258403507794576,0.28012066101017163,0.626195655174676,109.2574,3427.657,107.123
136,48,64,15,1,0.5317879715992384,0.24096463608416216,0.09736108296846016,0.2783890612470676,0.6188341877346111,109.4574,3421.394,106.927
137,48,64,15,2,0.5409976581921885,0.24508758004213554,0.08900725772519974,0.2789525274329671,0.6180237345051365,106.5058,3516.212,109.891
138,48,128,15,1,0.5409095399963151,0.2460811949159665,0.08920816471460342,0.2792409438568849,0.6347122221474604,110.5112,3388.771,105.908
139,48,128,15,2,0.5466799467018427,0.24864294869168121,0.09777845160390759,0.28077412875541585,0.6201785601660038,106.2398,3525.016,110.166
140,48,256,15,1,0.5133659281649786,0.24101836975708799,0.09357319440450816,0.28074626074118314,0.624892572743941,107.023,3499.221,109.36
141,48,256,15,2,0.5281858065618683,0.2442043841789683,0.08988716260979061,0.28019398029434395,0.6017824163064245,109.1132,3432.188,107.265
142,48,512,15,1,0.5411338408585382,0.2464700730898908,0.09078661678929874,0.27970563889274686,0.6295064215160353,108.4718,3452.482,107.899
143,48,512,15,2,0.5348988109384054,0.2552884085758266,0.09279448516422108,0.28584331195731155,0.6279016854028868,110.3606,3393.395,106.052
144,48,1024,15,1,0.5121830081415872,0.24598498573272817,0.0954174263258994,0.2837988897492583,0.6387424329600284,106.6048,3512.947,109.789
145,48,1024,15,2,0.5412780342699675,0.25731117366174516,0.09898034119836557,0.2867064473830614,0.636597314945593,107.4345,3485.818,108.941
